name,predict,%accurate,,name,predict,%accurate
YESBANK,1,60.97560976,,BANDHANBNK,0,62.43902439
ADANIPORTS,1,58.04878049,,SHREECEM,0,60.48780488
BHARTIARTL,1,58.04878049,,DMART,0,59.78835979
GAIL,1,58.04878049,,GLAXO,0,59.51219512
AUROPHARMA,1,57.56097561,,HDFCAMC,0,59.51219512
BPCL,1,57.56097561,,MARICO,0,58.04878049
DABUR,1,57.56097561,,MRF,0,58.04878049
BIOCON,1,57.07317073,,TORNTPHARM,0,57.07317073
HDFCBANK,1,57.07317073,,BRITANNIA,0,56.58536585
ITC,1,57.07317073,,COLPAL,0,56.58536585
CIPLA,1,56.09756098,,PIDILITIND,0,56.58536585
HDFCLIFE,1,56.09756098,,ADANITRANS,0,56.49350649
ICICIPRULI,1,56.09756098,,3MINDIA,0,56.09756098
SBICARD,1,55.81395349,,KANSAINER,0,56.09756098
COALINDIA,1,55.6097561,,HINDZINC,0,55.6097561
PETRONET,1,55.6097561,,SBILIFE,0,55.6097561
TATASTEEL,1,55.6097561,,ALKEM,0,55.12195122
NMDC,1,55.12195122,,HONAUT,0,55.12195122
IGL,1,54.63414634,,ASIANPAINT,0,54.63414634
KOTAKBANK,1,54.63414634,,HINDUNILVR,0,54.63414634
HINDALCO,1,54.14634146,,MCDOWELL-N,0,54.63414634
IOC,1,54.14634146,,MUTHOOTFIN,0,54.63414634
INDUSINDBK,1,53.17073171,,UBL,0,54.63414634
PFC,1,53.17073171,,WHIRLPOOL,0,54.63414634
TECHM,1,53.17073171,,NAUKRI,0,54.14634146
LUPIN,1,52.68292683,,TCS,0,54.14634146
ONGC,1,52.68292683,,TITAN,0,54.14634146
TATAMOTORS,1,52.68292683,,ULTRACEMCO,0,54.14634146
HINDPETRO,1,52.19512195,,BOSCHLTD,0,53.65853659
NTPC,1,52.19512195,,DRREDDY,0,53.65853659
SUNPHARMA,1,52.19512195,,MARUTI,0,53.65853659
BERGEPAINT,1,51.70731707,,GODREJCP,0,53.17073171
AMBUJACEM,1,51.2195122,,HDFC,0,53.17073171
DLF,1,51.2195122,,PEL,0,52.68292683
PNB,1,51.2195122,,SIEMENS,0,52.68292683
SBIN,1,51.2195122,,ICICIGI,0,52.19512195
VEDL,1,51.2195122,,PGHH,0,52.19512195
ADANIGREEN,1,50.81081081,,HAVELLS,0,51.70731707
AXISBANK,1,50.73170732,,LT,0,51.70731707
ICICIBANK,1,50.73170732,,BAJAJFINSV,0,51.2195122
RELIANCE,1,50.73170732,,LTI,0,51.2195122
WIPRO,1,50.73170732,,BAJFINANCE,0,50.73170732
JSWSTEEL,1,50.24390244,,INDIGO,0,50.73170732
UPL,1,49.75609756,,DIVISLAB,0,49.75609756
BANKBARODA,1,48.7804878,,HCLTECH,0,47.80487805
M&M,1,47.80487805,,HEROMOTOCO,0,47.80487805
POWERGRID,1,46.82926829,,EICHERMOT,0,47.31707317
INFY,1,45.85365854,,BAJAJ-AUTO,0,46.34146341
GRASIM,1,45.36585366,,,,
