name,predict,%accurate
3MINDIA,0,58.333333333333336
ADANIGREEN,1,58.91891891891892
ADANIPORTS,1,57.35294117647059
ADANITRANS,0,50.649350649350644
ALKEM,0,55.392156862745104
AMBUJACEM,1,51.470588235294116
ASIANPAINT,0,52.94117647058824
AUROPHARMA,0,52.94117647058824
AXISBANK,1,43.627450980392155
BAJAJ-AUTO,0,52.450980392156865
BAJAJFINSV,0,57.84313725490197
BAJFINANCE,0,50.49019607843137
BANDHANBNK,0,59.31372549019608
BANKBARODA,1,50.98039215686274
BERGEPAINT,0,53.92156862745098
BHARTIARTL,1,56.372549019607845
BIOCON,1,53.431372549019606
BOSCHLTD,0,56.86274509803921
BPCL,1,59.31372549019608
BRITANNIA,0,63.23529411764706
CIPLA,0,57.35294117647059
COALINDIA,1,55.392156862745104
COLPAL,0,50.98039215686274
DABUR,1,63.23529411764706
DIVISLAB,0,50.98039215686274
DLF,1,53.92156862745098
DMART,0,52.910052910052904
DRREDDY,0,52.94117647058824
EICHERMOT,0,44.6078431372549
GAIL,1,59.31372549019608
GLAXO,0,61.76470588235294
GODREJCP,0,52.94117647058824
GRASIM,1,54.41176470588235
HAVELLS,0,52.450980392156865
HCLTECH,0,53.92156862745098
HDFC,0,57.35294117647059
HDFCAMC,0,56.372549019607845
HDFCBANK,0,53.92156862745098
HDFCLIFE,1,56.86274509803921
HEROMOTOCO,0,56.86274509803921
HINDALCO,1,54.41176470588235
HINDPETRO,1,55.392156862745104
HINDUNILVR,0,52.450980392156865
HINDZINC,0,57.35294117647059
HONAUT,0,57.84313725490197
ICICIBANK,1,56.86274509803921
ICICIGI,0,56.372549019607845
ICICIPRULI,1,54.90196078431373
IGL,0,58.333333333333336
INDIGO,0,53.92156862745098
INDUSINDBK,1,56.372549019607845
INFY,1,44.11764705882353
IOC,1,55.88235294117647
ITC,1,56.372549019607845
JSWSTEEL,1,52.94117647058824
KANSAINER,0,55.88235294117647
KOTAKBANK,0,54.41176470588235
LT,0,54.90196078431373
LTI,0,46.568627450980394
LUPIN,0,59.31372549019608
M&M,1,55.88235294117647
MARICO,1,56.372549019607845
MARUTI,0,56.86274509803921
MCDOWELL-N,0,50.98039215686274
MRF,0,58.82352941176471
MUTHOOTFIN,0,61.274509803921575
NAUKRI,0,54.41176470588235
NMDC,1,55.88235294117647
NTPC,1,56.372549019607845
ONGC,1,51.9607843137255
PEL,0,56.372549019607845
PETRONET,1,57.35294117647059
PFC,1,53.431372549019606
PGHH,0,59.31372549019608
PIDILITIND,0,51.9607843137255
PNB,1,55.88235294117647
POWERGRID,1,54.90196078431373
RELIANCE,1,57.84313725490197
SBICARD,1,52.69461077844312
SBILIFE,1,56.86274509803921
SBIN,1,54.41176470588235
SHREECEM,0,55.392156862745104
SIEMENS,0,52.450980392156865
SUNPHARMA,1,53.92156862745098
TATAMOTORS,1,54.90196078431373
TATASTEEL,1,49.50980392156863
TCS,0,58.82352941176471
TECHM,0,49.50980392156863
TITAN,1,56.86274509803921
TORNTPHARM,0,55.392156862745104
UBL,0,48.529411764705884
ULTRACEMCO,0,60.78431372549019
UPL,1,51.470588235294116
VEDL,1,48.03921568627451
WHIRLPOOL,0,55.88235294117647
WIPRO,1,59.80392156862745
YESBANK,1,58.333333333333336
